BLOCKID|COUNTYFP|DISTRICT
480019508002030|001|000001
480019508002031|001|000001
480019508002032|001|000001
480019508002033|001|000001
480019508002034|001|000001
480019508002035|001|000001
480019508002036|001|000001
480019508002037|001|000003
480019508002038|001|000003
480019508002039|001|000001
480019508002040|001|000003
480019508002041|001|000001
480019508003000|001|000013
480019508003001|001|000013
480019508003002|001|000013
480019508003003|001|000013
480019508003004|001|000013
480019508003005|001|000013
480019508003006|001|000013
480019508003007|001|000013
480019508003008|001|000008
480019508003009|001|000013
480019508003010|001|000013
480019508003011|001|000013
480019508003012|001|000013
480019508003013|001|000013
480019508003014|001|000013
480019508003015|001|000013
480019508003016|001|000013
480019508003017|001|000013
480019508003018|001|000013
480019508003019|001|000013
480019508003020|001|000013
480019508003021|001|000013
480019508003022|001|000013
480019508003023|001|000013
480019508003024|001|000013
480019508003025|001|000013
480019508003026|001|000013
480019508003027|001|000013
480019508003028|001|000013
480019508003029|001|000013
480019508003030|001|000013
480019508003031|001|000013
480019508003032|001|000006
480019508003033|001|000006
480019508003034|001|000013
480019508003035|001|000013
480019508003036|001|000013
480019508003037|001|000013
480019508003038|001|000013
480019508003039|001|000013
480019508003040|001|000006
480019508003041|001|000013
480019508004000|001|000013
480019508004001|001|000013
480019508004002|001|000013
480019508004003|001|000013
480019508004004|001|000013
480019508004005|001|000013
480019508004006|001|000013
480019508004007|001|000013
480019508004008|001|000013
480019508004009|001|000013
480019508004010|001|000013
480019508004011|001|000013
480019508004012|001|000006
480019508004013|001|000006
480019508004014|001|000006
480019508004015|001|000006
480019508004016|001|000006
480019508004017|001|000006
480019508004018|001|000001
480019508004019|001|000001
480019508004020|001|000006
480019508004021|001|000006
480019508004022|001|000006
480019508004023|001|000006
480019508004024|001|000001
480019508004025|001|000013
480019508004026|001|000013
480019508004027|001|000013
480019508005000|001|000001
480019508005001|001|000001
480019508005002|001|000001
480019508005003|001|000001
480019508005004|001|000001
480019508005005|001|000001
480019508005006|001|000001
480019508005007|001|000001
480019508005008|001|000001
480019508005009|001|000001
480019508005010|001|000001
480019508005011|001|000001
480019508005012|001|000001
480019508005013|001|000001
480019508005014|001|000001
480019508005015|001|000001
480019508005016|001|000001
480019508005017|001|000001
480019508005018|001|000001
480019508005019|001|000001
480019508005020|001|000001
480019509011000|001|000009
480019509011001|001|000009
480019509011002|001|000009
480019509011003|001|000009
480019509011004|001|000009
480019509011005|001|000009
480019509011006|001|000009
480019509011007|001|000009
480019509011008|001|000009
480019509011009|001|000009
480019509011010|001|000009
480019509011011|001|000009
480019509011012|001|000009
480019509011013|001|000019
480019509011014|001|000009
480019509011015|001|000019
480019509011016|001|000009
480019509011017|001|000009
480019509011018|001|000009
480019509011019|001|000009
480019509011020|001|000009
480019509011021|001|000009
480019509011022|001|000009
480019509011023|001|000009
480019509011024|001|000009
480019509011025|001|000009
480019509011026|001|000009
480019509011027|001|000009
480019509011028|001|000009
480019509011029|001|000009
480019509011030|001|000009
480019509011031|001|000009
480019509011032|001|000009
480019509011033|001|000009
480019509011034|001|000009
480019509011035|001|000009
480019509011036|001|000009
480019509011037|001|000009
480019509011038|001|000009
480019509011039|001|000009
480019509011040|001|000009
480019509011041|001|000009
480019509011042|001|000009
480019509011043|001|000009
480019509011044|001|000009
480019509011045|001|000009
480019509011046|001|000009
480019509011047|001|000009
480019509011048|001|000009
480019509011049|001|000009
480019509011050|001|000009
480019509011051|001|000009
480019509011052|001|000009
480019509011053|001|000009
480019509011054|001|000009
480019509011055|001|000009
480019509011056|001|000009
480019509011057|001|000009
480019509011058|001|000009
480019509011059|001|000019
480019509011060|001|000019
480019509011061|001|000019
480019509011062|001|000019
480019509011063|001|000019
480019509011064|001|000019
480019509011065|001|000019
480019509011066|001|000019
480019509012000|001|000001
480019509012001|001|000003
480019509012002|001|000003
480019509012003|001|000003
480019509012004|001|000003
480019509012005|001|000001
480019509012006|001|000003
480019509012007|001|000003
480019509012008|001|000003
480019509012009|001|000003
480019509012010|001|000003
480019509012011|001|000003
480019509012012|001|000003
